ID,AssignedTo,CPUDemand,Step,sem_0,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,sem_9,sem_10,sem_11,sem_12,sem_13,sem_14,sem_15
2,5.0,2,2,0.5778035521507263,0.7477185130119324,0.3729193806648254,0.8553876876831055,0.2549143433570862,0.2047254592180252,0.8755825757980347,0.6701235175132751,0.8522059321403503,0.0405981317162513,0.0983898565173149,0.4805333316326141,0.5020468831062317,0.3551850616931915,0.9951362013816832,0.6509063243865967
2,5.0,2,3,0.5877734422683716,0.6389777660369873,0.6124405860900879,0.971747636795044,0.7643660306930542,0.2060528993606567,0.8617225885391235,0.2473452687263488,0.6118223071098328,0.2774486243724823,0.4993482232093811,0.7045409083366394,0.1641256064176559,0.8032276630401611,0.3756801187992096,0.6798642873764038
3,5.0,3,4,0.9845014810562134,0.1264266520738601,0.1981685310602188,0.2184357792139053,0.4630895256996155,0.7899394035339355,0.0193055681884288,0.2665168344974518,0.5265355110168457,0.8837453722953796,0.6289497017860413,0.3967197835445404,0.5148962736129761,0.6190592050552368,0.8346235156059265,0.1110632047057151
4,5.0,4,4,0.6555303931236267,0.6335069537162781,0.0458351969718933,0.9984092712402344,0.713006317615509,0.0513363443315029,0.8064044117927551,0.4054038822650909,0.5826706886291504,0.9185370206832886,0.0139760673046112,0.2431502491235733,0.4896923303604126,0.5437828302383423,0.880873441696167,0.3544934093952179
1,5.0,1,5,0.7565813660621643,0.626114010810852,0.878636360168457,0.1130217760801315,0.1739472448825836,0.4305669367313385,0.5812547206878662,0.3023994863033294,0.4227257072925567,0.5133123397827148,0.9753918647766112,0.8226962685585022,0.7197229266166687,0.5326020121574402,0.0271023605018854,0.4221013188362121
2,5.0,2,5,0.1179976835846901,0.7786919474601746,0.1296992748975753,0.4576325714588165,0.6684862375259399,0.6394718289375305,0.5667943954467773,0.386868268251419,0.9624450206756592,0.5793160796165466,0.0330907143652439,0.1995835900306701,0.2298254966735839,0.7551653385162354,0.2612462341785431,0.5421475172042847
3,5.0,3,5,0.5727736353874207,0.0659000352025032,0.5748781561851501,0.9052146673202516,0.8864004015922546,0.938958466053009,0.2979345619678497,0.6296265125274658,0.3177410066127777,0.9126215577125548,0.9879782795906068,0.1017078086733818,0.0905030518770217,0.8951300978660583,0.0980743393301963,0.7287289500236511
4,5.0,4,5,0.4228008985519409,0.9349530339241028,0.3622409403324127,0.2647731602191925,0.9571743607521056,0.0311684217303991,0.581196665763855,0.7402637600898743,0.5958223342895508,0.1471833288669586,0.021141231060028,0.9031822681427002,0.8976551294326782,0.0143758645281195,0.5776233077049255,0.9455562233924866
3,5.0,3,6,0.2872718274593353,0.7982914447784424,0.7296807765960693,0.6023375391960144,0.0499004870653152,0.2756599485874176,0.993840217590332,0.3051117956638336,0.3359288871288299,0.2329314947128296,0.424925833940506,0.6312117576599121,0.9027105569839478,0.7805455923080444,0.833703339099884,0.7994795441627502
4,5.0,4,6,0.300300657749176,0.7386127710342407,0.7532910704612732,0.6884382963180542,0.223844364285469,0.3418670296669006,0.0466758385300636,0.6099602580070496,0.0426219813525676,0.2175121456384658,0.4823469519615173,0.5743451714515686,0.4777913987636566,0.5947392582893372,0.9968571662902832,0.952663004398346
